id;gdp;gdp_per_capita;gdp_source;gdp_year
377;14.93;0.000029;country_total_population_share;2024
378;17.93;0.000029;country_total_population_share;2024
379;17.28;0.000029;country_total_population_share;2024
380;9.07;0.000029;country_total_population_share;2024
381;5.39;0.000029;country_total_population_share;2024
382;5.66;0.000029;country_total_population_share;2024
383;2.94;0.000029;country_total_population_share;2024
384;4.00;0.000029;country_total_population_share;2024
385;10.56;0.000029;country_total_population_share;2024
386;6.76;0.000029;country_total_population_share;2024
387;4.01;0.000029;country_total_population_share;2024
388;6.42;0.000029;country_total_population_share;2024
389;5.49;0.000029;country_total_population_share;2024
390;4.46;0.000029;country_total_population_share;2024
391;5.53;0.000029;country_total_population_share;2024
392;6.21;0.000029;country_total_population_share;2024
393;14.66;0.000029;country_total_population_share;2024
394;6.09;0.000029;country_total_population_share;2024
395;4.18;0.000029;country_total_population_share;2024
396;11.00;0.000029;country_total_population_share;2024
397;9.19;0.000029;country_total_population_share;2024
398;3.79;0.000029;country_total_population_share;2024
399;1.48;0.000029;country_total_population_share;2024
400;4.15;0.000029;country_total_population_share;2024
401;2.22;0.000029;country_total_population_share;2024
402;18.71;0.000028;country_total_population_share;2024
403;11.14;0.000028;country_total_population_share;2024
404;18.35;0.000028;country_total_population_share;2024
405;13.82;0.000028;country_total_population_share;2024
406;16.47;0.000028;country_total_population_share;2024
407;8.82;0.000028;country_total_population_share;2024
408;17.50;0.000028;country_total_population_share;2024
409;9.22;0.000028;country_total_population_share;2024
410;10.37;0.000028;country_total_population_share;2024
411;12.51;0.000028;country_total_population_share;2024
412;22.02;0.000028;country_total_population_share;2024
413;6.45;0.000028;country_total_population_share;2024
414;10.62;0.000028;country_total_population_share;2024
415;47.13;0.000028;country_total_population_share;2024
416;12.57;0.000028;country_total_population_share;2024
417;14.83;0.000028;country_total_population_share;2024
418;1.95;0.000028;country_total_population_share;2024
419;7.35;0.000028;country_total_population_share;2024
420;10.10;0.000028;country_total_population_share;2024
421;18.77;0.000140;country_total_population_share;2024
422;21.95;0.000140;country_total_population_share;2024
423;23.91;0.000140;country_total_population_share;2024
424;33.58;0.000140;country_total_population_share;2024
425;37.65;0.000140;country_total_population_share;2024
426;24.33;0.000140;country_total_population_share;2024
427;20.82;0.000140;country_total_population_share;2024
428;25.74;0.000140;country_total_population_share;2024
429;118.32;0.000140;country_total_population_share;2024
430;31.53;0.000140;country_total_population_share;2024
431;33.37;0.000140;country_total_population_share;2024
432;70.59;0.000140;country_total_population_share;2024
433;64.42;0.000140;country_total_population_share;2024
434;21.28;0.000140;country_total_population_share;2024
435;27.20;0.000140;country_total_population_share;2024
436;19.96;0.000140;country_total_population_share;2024
437;19.77;0.000140;country_total_population_share;2024
438;23.51;0.000140;country_total_population_share;2024
439;21.60;0.000140;country_total_population_share;2024
440;12.88;0.000140;country_total_population_share;2024
441;29.05;0.000140;country_total_population_share;2024
442;25.26;0.000140;country_total_population_share;2024
443;24.63;0.000140;country_total_population_share;2024
444;9.08;0.000114;country_total_population_share;2024
445;10.68;0.000114;country_total_population_share;2024
446;6.60;0.000114;country_total_population_share;2024
447;2.78;0.000114;country_total_population_share;2024
448;2.75;0.000114;country_total_population_share;2024
449;11.51;0.000114;country_total_population_share;2024
450;4.02;0.000046;country_total_population_share;2024
451;20.62;0.000046;country_total_population_share;2024
452;10.20;0.000046;country_total_population_share;2024
453;23.02;0.000046;country_total_population_share;2024
454;29.41;0.000046;country_total_population_share;2024
455;34.33;0.000046;country_total_population_share;2024
456;11.19;0.000046;country_total_population_share;2024
457;62.85;0.000046;country_total_population_share;2024
458;63.31;0.000046;country_total_population_share;2024
459;31.42;0.000046;country_total_population_share;2024
460;33.55;0.000046;country_total_population_share;2024
461;46.83;0.000046;country_total_population_share;2024
462;19.33;0.000046;country_total_population_share;2024
463;18.79;0.000046;country_total_population_share;2024
464;16.36;0.000046;country_total_population_share;2024
465;24.35;0.000046;country_total_population_share;2024
466;16.90;0.000046;country_total_population_share;2024
467;21.39;0.000046;country_total_population_share;2024
468;18.27;0.000046;country_total_population_share;2024
469;25.20;0.000046;country_total_population_share;2024
470;18.88;0.000046;country_total_population_share;2024
471;18.09;0.000046;country_total_population_share;2024
472;11.11;0.000046;country_total_population_share;2024
473;23.44;0.000046;country_total_population_share;2024
474;27.01;0.000046;country_total_population_share;2024
475;62.90;0.000046;country_total_population_share;2024
476;14.57;0.000046;country_total_population_share;2024
477;35.27;0.000046;country_total_population_share;2024
478;16.83;0.000046;country_total_population_share;2024
479;25.22;0.000046;country_total_population_share;2024
480;21.86;0.000046;country_total_population_share;2024
481;31.20;0.000046;country_total_population_share;2024
482;60.98;0.000046;country_total_population_share;2024
483;15.78;0.000046;country_total_population_share;2024
484;21.47;0.000046;country_total_population_share;2024
