id;population;population_source;population_date;source_region;source_country;match_method
74;1873542;matched_scaled_official;2025-01-01;Minsk Region;Belarus;matched
75;520954;matched_scaled_official;2018-12-31;Canton of Valais;Switzerland;fuzzy_contain
76;535173;matched_scaled_official;2018-12-31;Canton of Ticino;Switzerland;fuzzy_contain
77;300465;matched_scaled_official;2018-12-31;Canton of the Grisons;Switzerland;fuzzy_contain
78;418745;matched_scaled_official;2018-12-31;Canton of Thurgau;Switzerland;fuzzy_contain
79;2303654;matched_scaled_official;2018-12-31;Canton of Zürich;Switzerland;fuzzy_contain
80;1027211;matched_scaled_official;2018-12-31;Canton of Aargau;Switzerland;fuzzy_contain
81;768957;matched_scaled_official;2018-12-31;Canton of St. Gallen;Switzerland;fuzzy_contain
82;413780;matched_scaled_official;2018-12-31;Canton of Solothurn;Switzerland;fuzzy_contain
83;1210383;matched_scaled_official;2018-12-31;Canton of Vaud;Switzerland;fuzzy_contain
84;302457;imputed_scaled_official;2023-01-01;;;unmatched
85;620315;matched_scaled_official;2018-12-31;Canton of Lucerne;Switzerland;fuzzy_contain
86;55182;matched_scaled_official;2018-12-31;Canton of Uri;Switzerland;fuzzy_contain
87;482724;matched_scaled_official;2018-12-31;Canton of Fribourg;Switzerland;fuzzy_contain
88;84268;matched_scaled_official;2011-01-01;Famagusta District;Cyprus;matched
89;590914;matched_scaled_official;2011-01-01;Nicosia District;Cyprus;matched
90;425286;matched_scaled_official;2011-01-01;Limassol District;Cyprus;matched
91;159532;matched_scaled_official;2011-01-01;Paphos District;Cyprus;matched
92;926708;matched_scaled_official;2025-01-01;Ústí nad Labem Region;Czech Republic;matched
93;515305;matched_scaled_official;2025-01-01;Liberec Region;Czech Republic;matched
94;336122;matched_scaled_official;2025-01-01;Karlovy Vary Region;Czech Republic;matched
95;704630;matched_scaled_official;2025-01-01;Plzeň Region;Czech Republic;matched
96;748867;matched_scaled_official;2025-01-01;South Bohemian Region;Czech Republic;matched
97;637316;matched_scaled_official;2025-01-01;Hradec Králové Region;Czech Republic;matched
98;723959;matched_scaled_official;2025-01-01;Olomouc Region;Czech Republic;matched
99;608136;matched_scaled_official;2025-01-01;Pardubice Region;Czech Republic;matched
100;1363316;matched_scaled_official;2024-01-01;Moravian-Silesian Region;Czech Republic;matched
101;1409331;matched_scaled_official;2025-01-01;South Moravian Region;Czech Republic;matched
102;663770;matched_scaled_official;2025-01-01;Zlín Region;Czech Republic;matched
103;593436;matched_scaled_official;2025-01-01;Vysočina Region;Czech Republic;matched
104;1669104;matched_scaled_official;2024-01-01;Central Bohemian Region;Czech Republic;matched
105;4788876;matched_scaled_official;2023-12-31;Saxony;Germany;matched
106;15369417;matched_scaled_official;2022-01-01;Bavaria;Germany;matched
107;1191599;matched_scaled_official;2022-01-01;Saarland;Germany;matched
108;3458359;matched_scaled_official;2022-12-31;Schleswig-Holstein;Germany;matched
109;9372220;matched_scaled_official;2022-01-01;Lower Saxony;Germany;matched
110;20999612;matched_scaled_official;2022-01-01;North Rhine-Westphalia;Germany;matched
111;13003127;matched_scaled_official;2022-01-01;Baden-Württemberg;Germany;matched
112;2967470;matched_scaled_official;2022-01-01;Brandenburg;Germany;matched
113;1839470;matched_scaled_official;2022-01-01;Mecklenburg-Vorpommern;Germany;matched
114;6449754;matched_scaled_official;2022-01-01;Hesse;Germany;matched
115;2530590;matched_scaled_official;2022-01-01;Thuringia;Germany;matched
116;2629506;matched_scaled_official;2022-01-01;Saxony-Anhalt;Germany;matched
117;2373800;matched_scaled_official;2019-10-01;Southern Denmark;Denmark;matched
118;3586200;matched_scaled_official;2019-10-01;Capital Region of Denmark;Denmark;fuzzy_contain
119;1467500;region_scaled_official;2024-01-01;Navarre;Spain;matched
120;1817464;region_scaled_official;2023-01-01;;;unmatched
121;603597;region_scaled_official;2023-01-01;;;unmatched
122;2749189;region_scaled_official;2023-01-01;;;unmatched
123;1782041;region_scaled_official;2023-01-01;;;unmatched
124;777407;region_scaled_official;2023-01-01;;;unmatched
125;332678;region_scaled_official;2023-01-01;;;unmatched
126;802968;region_scaled_official;2023-01-01;;;unmatched
127;258545;region_scaled_official;2023-01-01;;;unmatched
128;1425517;region_scaled_official;2023-01-01;;;unmatched
129;1151597;region_scaled_official;2023-01-01;;;unmatched
130;506645;region_scaled_official;2023-01-01;;;unmatched
131;2090688;region_scaled_official;2023-01-01;;;unmatched
132;1695732;region_scaled_official;2023-01-01;;;unmatched
133;1679270;region_scaled_official;2023-01-01;;;unmatched
134;1776250;region_scaled_official;2023-01-01;;;unmatched
135;1191795;region_scaled_official;2023-01-01;;;unmatched
136;1034987;region_scaled_official;2023-01-01;;;unmatched
137;489609;region_scaled_official;2024-01-01;Region of Murcia;Spain;fuzzy_contain
138;1082128;region_scaled_official;2023-01-01;;;unmatched
139;861868;region_scaled_official;2023-01-01;;;unmatched
140;719105;region_scaled_official;2023-01-01;;;unmatched
141;760160;region_scaled_official;2023-01-01;;;unmatched
142;848513;region_scaled_official;2023-01-01;;;unmatched
143;501992;region_scaled_official;2023-01-01;;;unmatched
144;991906;region_scaled_official;2024-01-01;Asturias;Spain;matched
145;582102;region_scaled_official;2024-01-01;Cantabria;Spain;matched
146;1200094;region_scaled_official;2023-01-01;;;unmatched
147;754733;region_scaled_official;2023-01-01;;;unmatched
148;1305850;region_scaled_official;2023-01-01;;;unmatched
149;805684;region_scaled_official;2022-01-01;Balearic Islands;Spain;matched
150;514966;region_scaled_official;2023-01-01;;;unmatched
151;319211;region_scaled_official;2024-01-01;La Rioja;Spain;matched
152;576040;region_scaled_official;2023-01-01;;;unmatched
153;131614;region_scaled_official;2023-01-01;;;unmatched
154;207716;region_scaled_official;2023-01-01;;;unmatched
155;219959;region_scaled_official;2023-01-01;;;unmatched
156;268386;region_scaled_official;2023-01-01;;;unmatched
157;1563737;region_scaled_official;2024-01-01;Castile and León;Spain;fuzzy_contain
158;574585;region_scaled_official;2023-01-01;;;unmatched
159;370651;region_scaled_official;2023-01-01;;;unmatched
160;1377892;region_scaled_official;2023-01-01;;;unmatched
161;1369196;region_scaled_official;2023-01-01;;;unmatched
162;750821;region_scaled_official;2023-01-01;;;unmatched
163;1540838;region_scaled_official;2023-01-01;;;unmatched
164;694508;region_scaled_official;2023-01-01;;;unmatched
165;1094289;region_scaled_official;2023-01-01;;;unmatched
166;1345508;region_scaled_official;2024-01-01;Community of Madrid;Spain;matched
167;819540;region_scaled_official;2023-01-01;;;unmatched
168;812929;region_scaled_official;2023-01-01;;;unmatched
169;45516;matched_scaled_official;2023-01-01;Viljandi County;Estonia;matched
170;87186;matched_scaled_official;2023-01-01;Pärnu County;Estonia;matched
171;27851;matched_scaled_official;2024-01-01;Valga County;Estonia;matched
172;33959;matched_scaled_official;2024-01-01;Võru County;Estonia;matched
173;133003;matched_scaled_official;2023-01-01;Ida-Viru County;Estonia;matched
174;23973;matched_scaled_official;2023-01-01;Põlva County;Estonia;matched
175;161958;matched_scaled_official;2023-01-01;Tartu County;Estonia;matched
176;27666;matched_scaled_official;2023-01-01;Jõgeva County;Estonia;matched
177;20571;matched_scaled_official;2024-01-01;Lääne County;Estonia;matched
178;644592;matched_scaled_official;2024-01-01;Harju County;Estonia;matched
179;59450;matched_scaled_official;2023-01-01;Lääne-Viru County;Estonia;matched
180;31937;matched_scaled_official;2024-01-01;Saare County;Estonia;matched
181;8397;matched_scaled_official;2024-01-01;Hiiu County;Estonia;matched
182;33948;matched_scaled_official;2023-01-01;Rapla County;Estonia;matched
